Employee ID,Name,Department,Date of Birth,Gender,Salary,Date of Joining,Performance Score
EMP1000,Bob Smith,Sales,1970-01-01,Female,43795.0,2010-01-01,3.4
EMP1001,Elena Brown,Marketing,1985-01-11,Male,28860.0,2010-02-25,2.6
EMP1002,Diana Garcia,Marketing,1970-08-17,Female,104820.0,2010-04-21,2.6
EMP1003,Bob Anderson,Finance,1970-12-10,Female,76874.68918918919,2010-06-16,2.8666666666666667
EMP1004,Alice Johnson,Hr,1971-04-03,Male,34265.0,2010-08-10,1.0
EMP1005,Grace Smith,Finance,1971-07-26,Female,110386.0,2010-10-04,3.0
EMP1006,Alice Johnson,Sales,1985-01-11,Female,73102.2,2010-11-29,5.0
EMP1007,Diana Brown,It,1972-03-11,Female,115498.0,2011-01-23,2.8
EMP1008,Isabel Thomas,Sales,1985-01-11,Female,72167.8,2011-03-19,2.0
EMP1009,Alice Johnson,Finance,1972-10-26,Female,94901.2,2011-05-14,1.0
EMP1010,Alice Johnson,Hr,1973-02-17,Female,44023.0,2011-05-14,4.0
EMP1011,Grace Brown,It,1973-06-12,Male,94901.2,2011-09-01,1.0
EMP1012,Hector Thomas,Finance,1973-10-04,Female,80534.0,2011-10-27,4.0
EMP1013,Elena Smith,Finance,1974-01-26,Female,92820.0,2011-12-21,2.0
EMP1014,Alice Johnson,Finance,1974-05-21,Female,28769.0,2012-02-14,2.6
EMP1015,Farid Lopez,Operations,1974-09-12,Male,73102.2,2012-04-10,5.0
EMP1016,Carlos Brown,Hr,1985-01-11,Female,90955.0,2012-06-04,3.0
EMP1017,Farid Johnson,Finance,1975-04-29,Female,92925.0,2012-07-29,4.0
EMP1018,Bob Taylor,Operations,1975-08-21,Female,95969.0,2012-09-23,3.0
EMP1019,Bob Wilson,Operations,1975-12-13,Female,33311.0,2012-09-23,2.6
EMP1020,Farid Thomas,Finance,1976-04-06,Female,111104.0,2013-01-11,1.0
EMP1021,Elena Smith,Finance,1985-01-11,Male,81707.0,2013-03-08,2.4
EMP1022,Hector Anderson,Finance,1976-11-21,Male,113305.0,2013-05-02,5.0
EMP1023,Bob Taylor,Finance,1977-03-15,Female,56693.0,2013-06-26,3.0
EMP1024,Bob Anderson,Hr,1977-07-07,Female,99932.0,2013-08-21,1.0
EMP1025,Elena Thomas,Sales,1977-10-30,Female,53658.0,2013-10-15,5.0
EMP1026,Farid Thomas,Finance,1985-01-11,Female,112478.0,2013-12-09,2.8
EMP1027,Diana Johnson,Marketing,1978-06-15,Female,46431.0,2014-02-03,3.0
EMP1028,Alice Brown,Finance,1985-01-11,Female,94901.2,2014-02-03,1.0
EMP1029,Elena Johnson,It,1985-01-11,Female,87150.0,2014-05-24,2.0
EMP1030,Diana Johnson,Finance,1979-05-24,Female,93725.0,2014-05-24,2.0
EMP1031,Grace Lopez,Finance,1979-09-16,Male,112654.0,2014-09-12,2.8
EMP1032,Hector Wilson,Finance,1980-01-08,Male,63773.0,2014-09-12,5.0
EMP1033,Alice Johnson,Finance,1980-05-02,Female,95435.0,2015-01-01,3.0
EMP1034,Farid Brown,Sales,1980-08-24,Female,94901.2,2015-02-25,1.0
EMP1035,Alice Johnson,Marketing,1980-12-16,Female,80534.0,2015-04-21,4.0
EMP1036,Jamal Garcia,Marketing,1981-04-10,Female,59551.0,2015-04-21,5.0
EMP1037,Isabel Brown,Marketing,1981-08-02,Female,39394.0,2015-08-10,3.2
EMP1038,Carlos Martinez,Sales,1981-11-24,Female,97092.0,2015-08-10,5.0
EMP1039,Grace Lopez,Sales,1985-01-11,Female,76874.68918918919,2015-11-29,2.8666666666666667
EMP1040,Alice Johnson,Finance,1982-07-11,Female,69606.0,2016-01-23,3.0
EMP1041,Farid Smith,Marketing,1982-11-02,Female,73102.2,2016-03-18,5.0
