record_key,change_type,column_name,old_value,new_value
EMP1000,modified,Gender,Fem,Female
EMP1000,modified,Date of Joining,01/01/2010,2010-01-01
EMP1000,modified,Performance Score,<MISSING>,3.4
EMP1001,modified,Date of Birth,<MISSING>,1985-01-11
EMP1001,modified,Gender,M,Male
EMP1001,modified,Performance Score,<MISSING>,2.6
EMP1002,modified,Gender,<MISSING>,Female
EMP1002,modified,Date of Joining,2010.04.21,2010-04-21
EMP1002,modified,Performance Score,<MISSING>,2.6
EMP1003,modified,Department,<MISSING>,Finance
EMP1003,modified,Gender,X,Female
EMP1003,modified,Salary,-42000.0,76874.68918918919
EMP1003,modified,Performance Score,<MISSING>,2.8666666666666667
EMP1004,modified,Name,<MISSING>,Alice Johnson
EMP1004,modified,Department,HR,Hr
EMP1004,modified,Gender,M,Male
EMP1005,modified,Department,<MISSING>,Finance
EMP1005,modified,Gender,<MISSING>,Female
EMP1006,modified,Date of Birth,<MISSING>,1985-01-11
EMP1006,modified,Gender,<MISSING>,Female
EMP1006,modified,Salary,<MISSING>,73102.2
EMP1007,modified,Department,IT,It
EMP1007,modified,Gender,<MISSING>,Female
EMP1007,modified,Performance Score,<MISSING>,2.8
EMP1008,modified,Date of Birth,<MISSING>,1985-01-11
EMP1008,modified,Gender,Unknown,Female
EMP1008,modified,Salary,<MISSING>,72167.8
EMP1008,modified,Date of Joining,03/19/2011,2011-03-19
EMP1009,modified,Name,<MISSING>,Alice Johnson
EMP1009,modified,Department,<MISSING>,Finance
EMP1009,modified,Salary,-5000.0,94901.2
EMP1010,modified,Name,<MISSING>,Alice Johnson
EMP1010,modified,Department,HR,Hr
EMP1010,modified,Gender,<MISSING>,Female
EMP1010,modified,Date of Joining,<MISSING>,2011-05-14
EMP1011,modified,Department,IT,It
EMP1011,modified,Salary,-100.0,94901.2
EMP1012,modified,Department,<MISSING>,Finance
EMP1012,modified,Salary,<MISSING>,80534.0
EMP1013,modified,Department,<MISSING>,Finance
EMP1013,modified,Gender,<MISSING>,Female
EMP1014,modified,Name,<MISSING>,Alice Johnson
EMP1014,modified,Department,<MISSING>,Finance
EMP1014,modified,Date of Birth,21/05/1974,1974-05-21
EMP1014,modified,Gender,<MISSING>,Female
EMP1014,modified,Performance Score,<MISSING>,2.6
EMP1015,modified,Date of Birth,12-Sep-1974,1974-09-12
EMP1015,modified,Gender,male,Male
EMP1015,modified,Salary,<MISSING>,73102.2
EMP1015,modified,Date of Joining,2012.04.10,2012-04-10
EMP1016,modified,Department,HR,Hr
EMP1016,modified,Date of Birth,<MISSING>,1985-01-11
EMP1016,modified,Gender,F,Female
EMP1017,modified,Department,<MISSING>,Finance
EMP1017,modified,Date of Birth,29/04/1975,1975-04-29
EMP1017,modified,Gender,<MISSING>,Female
EMP1018,modified,Gender,F,Female
EMP1018,modified,Date of Joining,"Sep 23, 2012",2012-09-23
EMP1019,modified,Gender,<MISSING>,Female
EMP1019,modified,Date of Joining,<MISSING>,2012-09-23
EMP1019,modified,Performance Score,<MISSING>,2.6
EMP1020,modified,Department,<MISSING>,Finance
EMP1020,modified,Gender,Unknown,Female
EMP1020,modified,Date of Joining,"Jan 11, 2013",2013-01-11
EMP1021,modified,Department,<MISSING>,Finance
EMP1021,modified,Date of Birth,<MISSING>,1985-01-11
EMP1021,modified,Gender,M,Male
EMP1021,modified,Performance Score,<MISSING>,2.4
EMP1022,modified,Gender,male,Male
EMP1023,modified,Gender,Fem,Female
EMP1024,modified,Department,HR,Hr
EMP1024,modified,Date of Birth,1977/07/07,1977-07-07
EMP1024,modified,Gender,<MISSING>,Female
