Employee ID,Name,Department,Date of Birth,Gender,Salary,Date of Joining,Performance Score
EMP1000,Bob Smith,Sales,1970-01-01,Fem,43795.0,01/01/2010,
EMP1001,Elena Brown,Marketing,,M,28860.0,2010-02-25,
EMP1002,Diana Garcia,Marketing,1970-08-17,,104820.0,2010.04.21,
EMP1003,Bob Anderson,,1970-12-10,X,-42000.0,2010-06-16,
EMP1004,,HR,1971-04-03,M,34265.0,2010-08-10,1.0
EMP1005,Grace Smith,,1971-07-26,,110386.0,2010-10-04,3.0
EMP1006,Alice Johnson,Sales,,,,2010-11-29,5.0
EMP1007,Diana Brown,IT,1972-03-11,,115498.0,2011-01-23,
EMP1008,Isabel Thomas,Sales,,Unknown,,03/19/2011,2.0
EMP1009,,,1972-10-26,Female,-5000.0,2011-05-14,1.0
EMP1010,,HR,1973-02-17,,44023.0,,4.0
EMP1011,Grace Brown,IT,1973-06-12,Male,-100.0,2011-09-01,1.0
EMP1012,Hector Thomas,,1973-10-04,Female,,2011-10-27,4.0
EMP1013,Elena Smith,,1974-01-26,,92820.0,2011-12-21,2.0
EMP1014,,,21/05/1974,,28769.0,2012-02-14,
EMP1015,Farid Lopez,Operations,12-Sep-1974,male,,2012.04.10,5.0
EMP1016,Carlos Brown,HR,,F,90955.0,2012-06-04,3.0
EMP1017,Farid Johnson,,29/04/1975,,92925.0,2012-07-29,4.0
EMP1018,Bob Taylor,Operations,1975-08-21,F,95969.0,"Sep 23, 2012",3.0
EMP1019,Bob Wilson,Operations,1975-12-13,,33311.0,,
EMP1020,Farid Thomas,,1976-04-06,Unknown,111104.0,"Jan 11, 2013",1.0
EMP1021,Elena Smith,,,M,81707.0,2013-03-08,
EMP1022,Hector Anderson,Finance,1976-11-21,male,113305.0,2013-05-02,5.0
EMP1023,Bob Taylor,Finance,1977-03-15,Fem,56693.0,2013-06-26,3.0
EMP1024,Bob Anderson,HR,1977/07/07,,99932.0,2013-08-21,1.0
EMP1025,Elena Thomas,Sales,1977-10-30,Fem.,53658.0,2013-10-15,5.0
EMP1026,Farid Thomas,,,,112478.0,2013-12-09,
EMP1027,Diana Johnson,Marketing,06-15-1978,Fem,46431.0,2014.02.03,3.0
EMP1028,Alice Brown,,,Female,,,1.0
EMP1029,Elena Johnson,IT,,Female,87150.0,2014-05-24,2.0
EMP1030,Diana Johnson,Finance,1979-05-24, woman,93725.0,,2.0
EMP1031,Grace Lopez,Finance,09-16-1979,male,112654.0,2014-09-12,
EMP1032,Hector Wilson,Finance,1980-01-08,M,63773.0,,5.0
EMP1033,,,1980-05-02,female,95435.0,2015-01-01,3.0
EMP1034,Farid Brown,Sales,24/08/1980,,,2015-02-25,1.0
EMP1035,,Marketing,1980-12-16,F,,2015-04-21,4.0
EMP1036,Jamal Garcia,Marketing,1981-04-10,female,59551.0,,5.0
EMP1037,Isabel Brown,Marketing,1981-08-02,,39394.0,2015-08-10,
EMP1038,Carlos Martinez,Sales,1981/11/24, woman,97092.0,,5.0
EMP1039,Grace Lopez,Sales,,Fem,,2015-11-29,
EMP1040,,Finance,1982/07/11,,69606.0,01/23/2016,3.0
EMP1041,Farid Smith,Marketing,1982-11-02,,,2016-03-18,5.0
EMP1042,,,,,,2016-05-13,
EMP1043,Farid Taylor,Sales,1983-06-19,,38627.0,2016-07-07,5.0
EMP1044,,,1983-10-12, woman,-5000.0,2016-08-31,
EMP1045,Diana Thomas,,,male,101969.0,"Oct 26, 2016",3.0
EMP1046,Farid Brown,,1984-05-27,Female,71001.0,2016-12-20,4.0
EMP1047,Hector Taylor,Operations,19-Sep-1984,Female,104552.0,2017-02-13,
EMP1048,Hector Garcia,Finance,1985-01-11,M,51897.0,2017.04.10,2.0
EMP1049,Elena Garcia,HR,,,96148.0,06/04/2017,5.0
EMP1050,Diana Anderson,,,male,51483.0,2017-07-29,1.0
EMP1051,Isabel Lopez,HR,,F,76555.0,2017-09-23,5.0
EMP1052,Jamal Taylor,IT,,,45159.0,2017-11-17,4.0
EMP1053,Jamal Taylor,Finance,1986-08-06,,108077.0,2018-01-11,
EMP1054,,HR,,male,63920.0,2018-03-08,4.0
EMP1055,,Sales,1987-03-23,,95121.0,2018-05-02,4.0
EMP1056,Hector Johnson,Finance,1987-07-15,male,97479.0,26-06-2018,4.0
EMP1057,Alice Johnson,,1987-11-06,NonBinary,9999999.0,2018-08-21,3.0
EMP1058,Carlos Garcia,Sales,,,-42000.0,2018-10-15,2.0
EMP1059,Grace Thomas,,1988-06-22,Unknown,,,4.0
EMP1060,Bob Taylor,,1988-10-14,Fem.,105189.0,2019-02-03,1.0
EMP1061,Grace Thomas,,1989-02-06,Male,-42000.0,2019-03-30,1.0
EMP1062,Hector Anderson,,1989-05-31,fem,80995.0,2019-05-24,1.0
EMP1063,Elena Anderson,,1989-09-22,female,,,1.0
EMP1064,Alice Johnson,HR,1990-01-15,M,37692.0,,3.0
EMP1065,,HR,1990-05-09,,,2019-11-06,1.0
EMP1066,Farid Johnson,Finance,1990-09-01,M,100409.0,2020-01-01,
EMP1067,Elena Taylor,Finance,12-24-1990,,99211.0,"Feb 25, 2020",5.0
EMP1068,Carlos Martinez,Finance,1991/04/17,X,-42000.0,"Apr 20, 2020",
EMP1069,,HR,1991-08-10,Male,0.0,2020-06-15,
EMP1070,,Finance,,Female,60606.0,2020-08-09,3.0
EMP1071,Isabel Johnson,Sales,1992-03-25,,39534.0,2020-10-03,1.0
EMP1072,Elena Anderson,HR,,M,-42000.0,2020-11-28,5.0
EMP1073,,,1992-11-09,Male,119387.0,,1.0
EMP1074,,Sales,1993-03-03,,2500000.0,2021.03.18,3.0
EMP1075,Carlos Anderson,Finance,, woman,117789.0,05/13/2021,
EMP1076,,,18-Oct-1993,Unknown,83591.0,2021-07-07,4.0
EMP1077,,Finance,1994/02/10,M,117812.0,2021-08-31,
EMP1078,Hector Smith,IT,,Male,51247.0,2021.10.26,1.0
EMP1079,,Finance,,Fem.,52300.0,2021-12-20,4.0
EMP1080,Elena Brown,Marketing,1995-01-19,female,102065.0,2022-02-13,
EMP1081,Alice Brown,Marketing,1995-05-13,Male,,10-04-2022,1.0
EMP1082,,Operations,,female,37268.0,,2.0
EMP1083,Bob Martinez,Marketing,1995-12-28,F,114807.0,2022-07-29,4.0
EMP1084,,Marketing,,,40185.0,2022-09-23,
EMP1085,Carlos Garcia,Finance,1996-08-12,Female,91704.0,,2.0
EMP1086,Hector Anderson,HR,1996-12-05,female,114779.0,01/11/2023,
EMP1087,Carlos Lopez,,,,67099.0,2023-03-08,1.0
