Transaction ID,Employee ID,Product Category,Quantity Sold,Sale Amount,Payment Method,Sale Date,Name,Department,Date of Birth,Gender,Salary,Date of Joining,Performance Score,Employee Age at Sale,Employee Tenure at Sale
TXN5000,EMP1008,Electronics,5,786.02,Credit Card,2023-01-01,Isabel Thomas,Sales,1985-01-11,Female,72167.8,2011-03-19,2.0,38.0,11.8
TXN5001,EMP1077,Clothing,1,619.84,Mobile Pay,2023-01-07,Alice Johnson,Finance,1994-02-10,Male,117812.0,2021-08-31,2.8,28.9,1.4
TXN5002,EMP1065,Electronics,2,1476.44,Debit Card,2023-01-14,Alice Johnson,Hr,1990-05-09,Female,94901.2,2019-11-06,1.0,32.7,3.2
TXN5003,EMP1043,Furniture,6,624.68,Cash,2023-01-20,Farid Taylor,Sales,1983-06-19,Female,38627.0,2016-07-07,5.0,39.6,6.5
TXN5004,EMP1043,Electronics,11,1873.21,Cash,2023-01-27,Farid Taylor,Sales,1983-06-19,Female,38627.0,2016-07-07,5.0,39.6,6.6
TXN5005,EMP1085,Clothing,1,1804.56,Mobile Pay,2023-02-03,Carlos Garcia,Finance,1996-08-12,Female,91704.0,2022-09-23,2.0,26.5,0.4
TXN5006,EMP1008,Beauty,4,1742.72,Cash,2023-02-09,Isabel Thomas,Sales,1985-01-11,Female,72167.8,2011-03-19,2.0,38.1,11.9
TXN5007,EMP1069,Electronics,2,270.32,Cash,2023-02-16,Alice Johnson,Hr,1991-08-10,Male,76874.68918918919,2020-06-15,2.8666666666666667,31.5,2.7
TXN5008,EMP1020,Electronics,12,2359.95,Cash,2023-02-23,Farid Thomas,Finance,1976-04-06,Female,111104.0,2013-01-11,1.0,46.9,10.1
TXN5009,EMP1009,Groceries,12,1108.22,Credit Card,2023-03-01,Alice Johnson,Finance,1972-10-26,Female,94901.2,2011-05-14,1.0,50.3,11.8
TXN5010,EMP1052,Sports,3,2250.69,Mobile Pay,2023-03-08,Jamal Taylor,It,1985-01-11,Female,45159.0,2017-11-17,4.0,38.2,5.3
TXN5011,EMP1097,Electronics,5,508.47,Credit Card,2023-03-14,Jamal Anderson,Finance,2000-05-16,Female,76874.68918918919,2024-09-11,2.8666666666666667,22.8,-1.5
TXN5012,EMP1073,Sports,5,1492.21,Credit Card,2023-03-21,Alice Johnson,Finance,1992-11-09,Male,119387.0,2020-11-28,1.0,30.4,2.3
TXN5013,EMP1076,Electronics,4,2414.04,Mobile Pay,2023-03-28,Alice Johnson,Finance,1993-10-18,Female,83591.0,2021-07-07,4.0,29.4,1.7
TXN5014,EMP1071,Electronics,3,2496.77,Credit Card,2023-04-03,Isabel Johnson,Sales,1992-03-25,Female,39534.0,2020-10-03,1.0,31.0,2.5
TXN5015,EMP1078,Electronics,12,75.06,Credit Card,2023-04-10,Hector Smith,It,1985-01-11,Male,51247.0,2021-10-26,1.0,38.2,1.5
TXN5016,EMP1051,Sports,12,1211.04,Cash,2023-04-17,Isabel Lopez,Hr,1985-01-11,Female,76555.0,2017-09-23,5.0,38.3,5.6
TXN5017,EMP1012,Clothing,10,1086.81,Credit Card,2023-04-23,Hector Thomas,Finance,1973-10-04,Female,80534.0,2011-10-27,4.0,49.5,11.5
TXN5018,EMP1083,Sports,2,173.35,Mobile Pay,2023-04-30,Bob Martinez,Marketing,1995-12-28,Female,114807.0,2022-07-29,4.0,27.3,0.8
TXN5019,EMP1045,Sports,3,1430.52,Credit Card,2023-05-06,Diana Thomas,Finance,1985-01-11,Male,101969.0,2016-10-26,3.0,38.3,6.5
TXN5020,EMP1050,Electronics,12,27.63,Cash,2023-05-13,Diana Anderson,Finance,1985-01-11,Male,51483.0,2017-07-29,1.0,38.3,5.8
TXN5021,EMP1037,Electronics,3,1534.02,Cash,2023-05-20,Isabel Brown,Marketing,1981-08-02,Female,39394.0,2015-08-10,3.2,41.8,7.8
TXN5022,EMP1018,Furniture,10,2177.4,Debit Card,2023-05-26,Bob Taylor,Operations,1975-08-21,Female,95969.0,2012-09-23,3.0,47.8,10.7
TXN5023,EMP1092,Electronics,6,2210.75,Credit Card,2023-06-02,Farid Martinez,Finance,1998-10-22,Female,76984.0,2023-10-15,1.0,24.6,-0.4
TXN5024,EMP1078,Electronics,5,2386.48,Credit Card,2023-06-09,Hector Smith,It,1985-01-11,Male,51247.0,2021-10-26,1.0,38.4,1.6
